date,price
1975-01-01,175.0
1975-01-02,174.0
1975-01-05,173.5
1975-01-06,169.5
1975-01-07,180.0
1975-01-08,179.0
1975-01-09,177.25
1975-01-12,180.25
1975-01-13,177.1
1975-01-14,178.25
1975-01-15,176.0
1975-01-16,178.75
1975-01-19,175.0
1975-01-20,175.75
1975-01-21,175.5
1975-01-22,174.0
1975-01-23,177.5
1975-01-26,179.0
1975-01-27,176.5
1975-01-28,178.0
1975-01-29,177.25
1975-01-30,175.8
1975-02-02,176.25
1975-02-03,174.25
1975-02-04,175.0
1975-02-05,173.4
1975-02-06,174.5
1975-02-09,174.0
1975-02-10,174.5
1975-02-11,174.9
1975-02-12,178.6
1975-02-13,184.0
1975-02-16,181.4
1975-02-17,181.0
1975-02-18,184.25
1975-02-19,183.75
1975-02-20,184.75
1975-02-23,185.25
1975-02-24,185.0
1975-02-25,183.0
1975-02-26,182.25
1975-02-27,181.75
1975-03-02,181.85
1975-03-03,179.75
1975-03-04,178.5
1975-03-05,180.5
1975-03-06,178.0
1975-03-09,176.25
1975-03-10,178.9
1975-03-11,177.5
1975-03-12,178.75
1975-03-13,178.0
1975-03-16,177.75
1975-03-17,178.5
1975-03-18,178.5
1975-03-19,177.25
1975-03-20,176.25
1975-03-23,177.0
1975-03-24,176.75
1975-03-25,177.75
1975-03-26,177.25
1975-03-27,177.25
1975-03-30,178.16
1975-03-31,177.25
1975-04-01,177.25
1975-04-02,175.6
1975-04-03,173.45
1975-04-06,172.6
1975-04-07,174.0
1975-04-08,173.1
1975-04-09,172.5
1975-04-10,171.9
1975-04-13,167.5
1975-04-14,164.0
1975-04-15,166.5
1975-04-16,167.5
1975-04-17,170.25
1975-04-20,165.6
1975-04-21,165.5
1975-04-22,168.0
1975-04-23,167.2
1975-04-24,166.1
1975-04-27,166.5
1975-04-28,167.05
1975-04-29,167.0
1975-04-30,166.0
1975-05-01,165.5
1975-05-04,163.5
1975-05-05,164.0
1975-05-06,165.25
1975-05-07,166.25
1975-05-08,165.75
1975-05-11,165.4
1975-05-12,165.5
1975-05-13,166.75
1975-05-14,166.0
1975-05-15,165.75
1975-05-18,167.75
1975-05-19,166.9
1975-05-20,168.5
1975-05-21,174.75
1975-05-22,173.4
1975-05-25,173.4
1975-05-26,172.0
1975-05-27,171.0
1975-05-28,168.25
1975-05-29,167.0
1975-06-01,161.75
1975-06-02,165.25
1975-06-03,165.75
1975-06-04,164.5
1975-06-05,165.25
1975-06-08,165.35
1975-06-09,165.9
1975-06-10,164.75
1975-06-11,165.5
1975-06-12,164.55
1975-06-15,164.0
1975-06-16,164.0
1975-06-17,163.75
1975-06-18,162.85
1975-06-19,162.5
1975-06-22,162.4
1975-06-23,162.4
1975-06-24,164.0
